Me
nAA
SCBO
RBN
RBF
nDB
nTB
nN
nO
nS
nF
nCL
nHM
nHet
nX
H%
C%
N%
O%
Fsp3
max_conj_path
nCIC
Rbrid
MCD
NRS
NNRS
nR04
nR05
nR10
nBnz
ARR
ZM1V
DBI
HNar
PJI2
PW3
PW5
MAXDN
MAXDP
Psi_i_A
LOC
PCR
X2A
AAC
IDDE
IVDE
rGes
IC1
IC2
SIC0
SIC1
SIC2
SIC3
SpMax_A
SpMax_L
SpMAD_L
AVS_X
ChiA_X
WiA_D/Dt
J_D/Dt
SM1_Dz(Z)
SM1_Dz(v)
HyWi_B(m)
SpMax_B(m)
AVS_B(v)
SpMax_B(v)
SpMAD_B(v)
SpPosA_B(e)
SpMax_B(s)
SpDiam_B(s)
ATSC1e
ATSC2e
ATSC3e
ATSC5e
ATSC6e
ATSC7e
ATSC8e
ATSC2s
MATS2m
MATS2v
MATS3v
MATS2e
MATS2p
MATS4p
MATS2i
MATS2s
GATS1m
GATS2m
GATS1v
GATS1e
GATS2e
GATS5e
GATS1p
GATS1i
GATS7i
GATS8i
GATS1s
GATS2s
GATS3s
JGI3
JGI5
JGI6
JGI7
JGI8
JGI9
JGI10
SpMax2_Bh(v)
SpMin1_Bh(v)
SpMin2_Bh(v)
SpMin1_Bh(s)
SpMin2_Bh(s)
P_VSA_LogP_2
P_VSA_LogP_3
P_VSA_LogP_5
P_VSA_LogP_8
P_VSA_MR_2
P_VSA_MR_6
P_VSA_MR_7
P_VSA_m_2
P_VSA_m_3
P_VSA_m_4
P_VSA_v_2
P_VSA_v_3
P_VSA_e_2
P_VSA_e_3
P_VSA_i_2
P_VSA_i_4
P_VSA_s_3
P_VSA_s_4
P_VSA_s_6
P_VSA_ppp_P
P_VSA_ppp_A
P_VSA_ppp_con
P_VSA_ppp_ter
P_VSA_charge_2
P_VSA_charge_3
P_VSA_charge_4
P_VSA_charge_5
P_VSA_charge_6
P_VSA_charge_9
P_VSA_charge_13
Eta_L_A
Eta_F_A
Eta_sh_y
Eta_D_AlphaB
Eta_epsi_5
Eta_D_epsiD
SpMAD_EA(bo)
SpMax_EA(dm)
SpAD_EA(dm)
SpMax_EA(ri)
SpMax_AEA(bo)
SpMax_AEA(dm)
SM03_EA(dm)
SM09_AEA(dm)
SM11_AEA(dm)
SM12_AEA(ri)
Eig03_EA(dm)
Eig04_EA(dm)
Eig04_AEA(dm)
nCs
nCt
nCrs
nCrt
nCconj
nR=Cs
nR=Ct
nArCOOH
nRCONHR
nArCONHR
nROCON
nArCO
nC(=N)N2
nArNH2
nArNHR
nArNR2
nRNHO
nN(CO)2
nOHp
nArOR
nRSR
nSO2N
nCRX3
nArX
nPyrroles
nPyrazoles
nThiophenes
nOxazoles
nIsoxazoles
nPyridines
C-003
C-005
C-006
C-016
C-018
C-020
C-026
C-027
C-028
C-029
C-033
C-034
C-035
C-039
C-040
C-041
C-043
C-044
H-047
H-049
H-051
H-052
H-053
O-058
O-060
N-067
N-069
N-070
N-072
N-073
N-074
N-075
Cl-089
S-107
S-110
SssNH
SsssN
SdsN
SaasN
SaaNH
SdO
SssO
SaaO
SaaS
NssCH2
NsssCH
NdssC
NaaaC
minsCH3
mindCH2
minssCH2
mindsCH
minaaCH
mindssC
minaasC
minssssC
mintN
minsOH
mindO
mindS
minsBr
MaxssCH2
MaxaaCH
MaxdssC
MaxaasC
MaxddsN
CATS2D_01_DA
CATS2D_02_DA
CATS2D_04_DA
CATS2D_05_DA
CATS2D_06_DA
CATS2D_07_DP
CATS2D_02_DN
CATS2D_02_DL
CATS2D_03_DL
CATS2D_05_DL
CATS2D_06_DL
CATS2D_07_DL
CATS2D_09_DL
CATS2D_00_AA
CATS2D_02_AA
CATS2D_04_AA
CATS2D_05_AA
CATS2D_06_AA
CATS2D_07_AA
CATS2D_08_AA
CATS2D_02_AP
CATS2D_02_AL
CATS2D_03_AL
CATS2D_04_AL
CATS2D_05_AL
CATS2D_06_AL
CATS2D_07_AL
CATS2D_02_PL
CATS2D_03_PL
CATS2D_07_PL
CATS2D_08_PL
CATS2D_01_NL
CATS2D_02_NL
SHED_DA
SHED_DL
SHED_AN
SHED_LL
B01[C-N]
B01[C-O]
B01[C-I]
B01[N-N]
B01[N-O]
B02[C-O]
B02[N-N]
B02[N-O]
B02[N-S]
B02[N-Cl]
B02[O-O]
B02[O-S]
B02[S-S]
B03[C-O]
B03[N-N]
B03[N-O]
B03[N-S]
B03[N-F]
B03[N-Cl]
B03[N-Br]
B03[O-O]
B03[O-S]
B03[O-F]
B03[O-Cl]
B03[O-Br]
B03[F-F]
B03[Cl-Cl]
B04[C-C]
B04[C-O]
B04[N-N]
B04[N-O]
B04[N-S]
B04[N-F]
B04[N-Cl]
B04[O-O]
B04[O-S]
B04[O-F]
B04[O-Cl]
B04[S-Cl]
B04[F-F]
B04[Cl-Cl]
B05[C-C]
B05[C-N]
B05[C-O]
B05[C-S]
B05[C-Br]
B05[N-N]
B05[N-O]
B05[N-S]
B05[N-F]
B05[N-Cl]
B05[N-Br]
B05[O-O]
B05[O-S]
B05[O-F]
B05[O-Cl]
B05[O-Br]
B05[S-Cl]
B06[C-C]
B06[C-N]
B06[C-O]
B06[C-S]
B06[C-Br]
B06[N-N]
