Se
Me
nAA
RBN
nTB
nN
nHM
H%
C%
O%
X%
nCsp3
Fsp3
max_conj_path
nCIC
MCD
RCI
NRS
NNRS
nR05
ARR
D/Dtr06
S3K
PW3
PW4
MAXDN
MAXDP
LOC
AAC
IVDE
Yindex
IC1
IC2
SIC0
SIC1
SIC2
SIC3
CIC5
MATS1i
GATS1m
GATS2m
GATS5m
GATS1e
GATS2e
GATS5e
GATS8e
GATS1p
GATS2p
GATS5p
GATS1i
GATS2i
GATS3i
GATS4i
GATS5i
GATS6i
GATS7i
GATS8i
JGI1
JGI2
JGI3
JGI4
JGI5
JGI6
JGI7
JGI8
JGI9
JGI10
SpMax1_Bh(m)
SpMax1_Bh(e)
SpMin1_Bh(e)
P_VSA_LogP_2
P_VSA_MR_5
P_VSA_m_2
P_VSA_m_4
P_VSA_v_3
P_VSA_e_2
P_VSA_charge_3
P_VSA_charge_6
P_VSA_charge_8
P_VSA_charge_10
nCs
nCt
nCrt
nR=Cp
nRCOOH
nArCOOR
nRCO
nArCO
nCONN
nArC=N
nArCN
nN(CO)2
nArOR
C-005
C-025
C-028
C-037
C-042
H-046
H-049
H-052
N-073
N-074
N-075
SssCH2
NaasC
NdsN
minsCH3
minssCH2
mindsCH
minaaCH
minaasC
minsNH2
minssNH
mintN
minaasN
minsOH
mindO
minssO
minaaO
mindS
minssS
minaaS
minsF
minsCl
minsBr
MaxaasC
MaxaaaC
CATS2D_02_DD
CATS2D_02_DA
CATS2D_05_DL
CATS2D_02_AL
CATS2D_03_AL
CATS2D_04_AL
CATS2D_01_NL
SHED_DA
SHED_DL
SHED_AA
SHED_AL
SHED_NL
B01[C-C]
B01[C-O]
B01[C-S]
B01[N-N]
B01[N-O]
B01[N-S]
B01[O-S]
B02[C-C]
B02[C-O]
B02[C-S]
B02[N-N]
B02[N-O]
B02[N-S]
B02[O-O]
B02[F-F]
B02[Cl-Cl]
B03[C-C]
B03[N-N]
B03[N-O]
B03[N-S]
B03[N-Cl]
B03[O-O]
B03[O-S]
B03[O-F]
B03[O-Cl]
B03[F-F]
B03[Cl-Cl]
B04[C-C]
B04[N-N]
B04[N-O]
B04[N-S]
B04[N-Cl]
B04[O-O]
B04[O-S]
B04[O-F]
B04[O-Cl]
B04[F-F]
B04[Cl-Cl]
B05[C-C]
B05[C-N]
B05[C-O]
B05[C-S]
B05[C-F]
B05[C-Cl]
B05[C-Br]
B05[N-N]
B05[N-O]
B05[N-S]
B05[N-Cl]
B05[O-O]
B05[O-S]
B05[O-F]
B05[O-Cl]
B05[F-F]
B05[Cl-Cl]
B06[C-C]
B06[C-N]
B06[C-O]
B06[C-S]
B06[C-F]
B06[C-Cl]
B06[C-Br]
B06[N-N]
B06[N-O]
B06[N-Cl]
B06[O-O]
B06[O-F]
B06[O-Cl]
B07[C-C]
B07[C-N]
B07[C-O]
B07[C-S]
B07[C-F]
B07[C-Cl]
B07[C-Br]
B07[N-N]
B07[N-O]
B07[N-Cl]
B07[O-O]
B07[O-F]
B07[O-Cl]
B07[Cl-Cl]
B08[C-C]
B08[C-N]
B08[C-O]
B08[C-S]
B08[C-Cl]
B08[C-Br]
B08[N-N]
B08[N-O]
B08[O-O]
B08[O-F]
B09[C-C]
B09[C-N]
B09[C-O]
B09[C-S]
B09[C-Cl]
B09[C-Br]
B09[N-N]
B09[N-O]
B09[O-O]
B09[O-F]
B10[C-C]
B10[C-N]
B10[C-O]
B10[C-S]
B10[C-F]
B10[C-Cl]
B10[N-N]
B10[N-O]
B10[O-O]
MLOGP
Ro5
DLS_01
DLS_02
DLS_03
DLS_04
DLS_05
DLS_06
DLS_07
DLS_cons
LLS_01
LLS_02
QEDu
meanDistFromCC
phLevel1
phLevel2
arLevel3
s2_phRelSize
s3_phRelSize
s2_pathLength
s4_numSharedNeighbors
