SMILES,INCHIKEY,dHm
O(C1=CC=CC=C1)P1(OC2=CC=CC=C2)=NP2(OC3=CC=CC=C3C3=C(O2)C=CC=C3)=NP(OC2=CC=CC=C2)(OC2=CC=CC=C2)=N1,AFJOTCUIYSZMHE-UHFFFAOYSA-N,29.2
COC1=CC=CC(=CNNC(=O)C2=CC=NC=C2)C1=O,AFMANPBPELTUQS-UHFFFAOYSA-N,49.7
C1=CC=C2C(=C1)C(C3=CC=CC=C32)O,AFMVESZOYKHDBJ-UHFFFAOYSA-N,24.2
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)C1=CC=C(C=C1)C(=O)C1=CC=C(CCCCCCCCCCC)C=C1)[C@H](C)CCCC(C)C,AFNJNTFUKGYTGV-CLXFSRSRSA-N,27.95
OC(=O)C1=CC=CC(=C1)N(=O)=O,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,20.3715
CC(C)(C1=CC2=C(C=C1)C=C(C=C2)C(C)(C)OO)OO,AFPSJXJNWUOEGK-UHFFFAOYSA-N,38.3
CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,AFYCEAFSNDLKSX-UHFFFAOYSA-N,17.88
CC1=CN2C(N1)=NC1=C(N=C(Br)N1COCCO)C2=O,AGASSTHGGSUOOL-UHFFFAOYSA-N,50.44
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])Br,AGEZXYOZHKGVCM-UHFFFAOYSA-N,13.2
C=CCCCOC1=CC=C(C=C1)C(=O)OC1=CC2=C(C=CC(=O)O2)C=C1,AGJGCCHPNJMESS-UHFFFAOYSA-N,32.8647
CCCOC1=CC(=O)C(=CC1=O)OCCC,AGKJPLWJVNVKSX-UHFFFAOYSA-N,33.6
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,AGOYDEPGAOXOCK-KCBOHYOISA-N,49.2909
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,AGOYDEPGAOXOCK-UHFFFAOYSA-N,49.8
[H]c1c(c([H])c(c(N([N+]([O-])=O)C([H])([H])[H])c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,AGUIVNYEYSCPNI-UHFFFAOYSA-N,24.395
C1=CC=C2C(=C1)C(C3=CC=CC=C32)Br,AHCDKANCCBEQJJ-UHFFFAOYSA-N,13.36
[H]C1([H])OC([H])([H])C1([H])[H],AHHWIHXENZJRFG-UHFFFAOYSA-N,6.27
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,AHJKRLASYNVKDZ-UHFFFAOYSA-N,27.31
[H][C@@]1(C[C@H](CCCCCCCCCCC)OC(=O)[C@H](CC(C)C)NC=O)OC(=O)[C@@]1([H])CCCCCC,AHLBNYSZXLDEJQ-FWEHEUNISA-N,61.274
CCCSC1=C(SC(=C2SC(=C(S2)SCCC)SCCC)S1)SCCC,AHTOPJKTYAJFTK-UHFFFAOYSA-N,42.7
CC(C)(C1=CC=C(C=C1)OC#N)C2=CC=C(C=C2)OC#N,AHZMUXQJTGRNHT-UHFFFAOYSA-N,26.69
COC1=CC=C(OC(=O)C2=CC=C(C)C=C2)C=C1,AIAMKMCUDQZZRB-UHFFFAOYSA-N,30.1449
CC(C)(C)C1=CC(=C(C=C1)OP2OCC3(CO2)COP(OC3)OC4=C(C=C(C=C4)C(C)(C)C)C(C)(C)C)C(C)(C)C,AIBRSVLEQRWAEG-UHFFFAOYSA-N,41.51
